찾을 단어,고칠 단어
CIA,씨아이에이
OS/2,오에스투
8086,팔공팔육
80286,팔공이팔육
80386,팔공삼팔육
80486,팔공사팔육
386칩,삼팔육 칩
386용,삼팔육용
386의,삼팔육의
386은,삼팔육은
GNU,지엔유
X11,엑스일레븐
gamasutra,가마수트라
美,미국
中,중국
北,북한
韓,한국
日,일본
①,"일,"
②,"이,"
③,"삼,"
④,"사,"
⑤,"오,"
⑥,"육,"
⑦,"칠,"
⑧,"팔,"
⑨,"구,"
⑩,"십,"
⑪,"십일,"
⑫,"십이,"
⑬,"십삼,"
⑭,"십사,"
⑮,"십오,"
ⓐ,"에이,"
ⓑ,"비,"
ⓒ,"씨,"
ⓓ,"디,"
ⓔ,"이,"
ⓕ,"에프,"
ⓖ,"쥐,"
ⓗ,"에이치,"
ⓘ,"아이,"
ⓙ,"제이,"
ⓚ,"케이,"
ⓛ,"엘,"
ⓜ,"엠,"
ⓝ,"엔,"
ⓞ,"오,"
ⓟ,"피,"
ⓠ,"큐,"
ⓡ,"알,"
ⓢ,"에스,"
ⓣ,"티,"
ⓤ,"유,"
ⓥ,"브이,"
ⓦ,"더블유,"
ⓧ,"엑스,"
ⓨ,"와이,"
ⓩ,"지,"
Guardian,가디언
.com,닷컴
.net,닷넷
NASA,나사
Facebook,페이스북
facebook,페이스북
1/4분기,일사분기
2/4분기,이사분기
3/4분기,삼사분기
4/4분기,사사분기
14분기,일사분기
24분기,이사분기
34분기,삼사분기
44분기,사사분기
ROI,알오아이
SQL,에스큐엘
ㅋ,크
ㅎ,흐
½,이분의 일
⅓,삼분의 일
⅔,삼분의 이
¼,사분의 일
¾,사분의 삼
⅛,팔분의 일
⅜,팔분의 삼
⅝,팔분의 오
⅞,팔분의 칠
